name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dwight Howard","Houston Rockets",2014-02-20,2013,2384,1610612745,400489687,5,2,31,1,"Alley Oop Dunk Shot","2PT Field Goal",2.40,"Golden State Warriors",10,3,0,0.70,"Lee, David",3.30,11.50
"PJ Tucker","Phoenix Suns",2013-11-15,2013,3033,1610612756,400489005,5,0,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0.00,"Brooklyn Nets",12,-8,0,0.00,,0.00,0.00
"Andrew Bogut","Golden State Warriors",2013-11-20,2013,2747,1610612744,400489046,5,0,50,1,"Alley Oop Dunk Shot","2PT Field Goal",1.90,"Memphis Grizzlies",-2,1,1,0.20,"Randolph, Zach",2.50,24.00
"Jeremy Evans","Utah Jazz",2013-11-25,2013,4295,1610612762,400489082,5,1,25,1,"Alley Oop Dunk Shot","2PT Field Goal",4.00,"Chicago Bulls",7,0,0,0.00,"Boozer, Carlos",6.10,7.10
"Paul Millsap","Atlanta Hawks",2013-12-26,2013,3015,1610612737,400489296,5,1,12,1,"Alley Oop Layup shot","2PT Field Goal",5.00,"Cleveland Cavaliers",7,11,0,0.00,"Waiters, Dion",2.10,15.20
"Carmelo Anthony","New York Knicks",2014-01-13,2013,1975,1610612752,400489430,5,4,04,1,"Alley Oop Layup shot","2PT Field Goal",0.80,"Phoenix Suns",7,7,0,0.20,"Green, Gerald",4.20,24.00
"Greivis Vasquez","Toronto Raptors",2014-03-21,2013,4291,1610612761,400489897,6,3,20,1,"Driving Bank shot","2PT Field Goal",8.70,"Oklahoma City Thunder",81,19,4,4.30,"Lamb, Jeremy",1.80,6.00
"JJ Hickson","Denver Nuggets",2014-02-18,2013,3437,1610612743,400489672,5,1,43,1,"Driving Dunk Shot","2PT Field Goal",5.30,"Phoenix Suns",21,14,2,2.10,"Frye, Channing",15.30,23.00
"Goran Dragic","Phoenix Suns",2014-02-18,2013,3423,1610612756,400489672,5,0,56,1,"Driving Dunk Shot","2PT Field Goal",2.00,"Denver Nuggets",1,9,0,0.90,"Fournier, Evan",10.90,22.90
"James Harden","Houston Rockets",2014-02-20,2013,3992,1610612745,400489687,5,0,00,1,"Driving Dunk Shot","2PT Field Goal",4.70,"Golden State Warriors",-10,1,5,3.60,"Iguodala, Andre",5.20,0.00
"DeMar DeRozan","Toronto Raptors",2014-03-18,2013,3978,1610612761,400489877,5,0,11,1,"Driving Dunk Shot","2PT Field Goal",6.50,"Atlanta Hawks",-2,3,1,1.70,"Millsap, Paul",2.60,0.00
"Corey Brewer","Minnesota Timberwolves",2013-10-30,2013,3191,1610612750,400488883,5,4,24,1,"Driving Dunk Shot","2PT Field Goal",0.00,"Orlando Magic",15,0,0,0.00,,0.00,0.00
"Paul Millsap","Atlanta Hawks",2013-12-28,2013,3015,1610612737,400489313,5,4,42,0,"Driving Dunk Shot","2PT Field Goal",3.30,"Charlotte Hornets",-4,3,1,1.60,"McRoberts, Josh",3.20,10.00
"Reggie Jackson","Oklahoma City Thunder",2014-03-21,2013,6443,1610612760,400489897,5,4,29,0,"Driving Finger Roll Layup Shot","2PT Field Goal",5.10,"Toronto Raptors",0,17,20,16.10,"Vasquez, Greivis",1.20,8.30
"Michael CarterWilliams","Philadelphia 76ers",2013-12-20,2013,2596108,1610612755,400489256,5,3,41,1,"Driving Finger Roll Layup Shot","2PT Field Goal",5.60,"Brooklyn Nets",9,22,2,2.50,"Williams, Deron",2.80,12.90
"Darren Collison","Los Angeles Clippers",2013-12-22,2013,3973,1610612746,400489279,5,3,04,1,"Driving Finger Roll Layup Shot","2PT Field Goal",3.20,"Minnesota Timberwolves",13,7,1,2.50,"Rubio, Ricky",2.50,22.00
