name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Tyson Chandler","New York Knicks",2014-01-24,2013,984,1610612752,400489513,3,0,32,1,"Alley Oop Dunk Shot","2PT Field Goal",2.90,"Charlotte Hornets",-23,3,0,1.00,"Jefferson, Al",7.20,10.50
"Dwight Howard","Houston Rockets",2014-01-24,2013,2384,1610612745,400489515,3,11,41,1,"Alley Oop Dunk Shot","2PT Field Goal",1.80,"Memphis Grizzlies",1,8,0,1.10,"Gasol, Marc",4.00,6.70
"Terrence Ross","Toronto Raptors",2014-01-25,2013,6619,1610612761,400489520,3,5,55,1,"Alley Oop Dunk Shot","2PT Field Goal",2.80,"Los Angeles Clippers",6,-3,0,0.90,"Collison, Darren",2.10,21.40
"Blake Griffin","Los Angeles Clippers",2014-01-25,2013,3989,1610612746,400489520,3,3,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0.90,"Toronto Raptors",7,3,0,0.00,"Ross, Terrence",7.20,19.50
"Blake Griffin","Los Angeles Clippers",2014-01-25,2013,3989,1610612746,400489520,3,1,40,1,"Alley Oop Dunk Shot","2PT Field Goal",8.70,"Toronto Raptors",17,3,0,0.00,"Vasquez, Greivis",5.50,20.30
"Tim Hardaway Jr","New York Knicks",2014-01-26,2013,2528210,1610612752,400489528,3,1,14,1,"Alley Oop Dunk Shot","2PT Field Goal",5.10,"Los Angeles Lakers",4,4,0,0.60,"Marshall, Kendall",5.00,24.00
"Jonas Valanciunas","Toronto Raptors",2014-01-27,2013,6477,1610612761,400489536,3,8,30,1,"Alley Oop Dunk Shot","2PT Field Goal",1.30,"Brooklyn Nets",-19,3,0,0.00,"Garnett, Kevin",3.30,13.20
"DeAndre Jordan","Los Angeles Clippers",2014-01-27,2013,3442,1610612746,400489538,3,1,07,1,"Alley Oop Dunk Shot","2PT Field Goal",1.30,"Milwaukee Bucks",-2,-5,0,0.10,"Middleton, Khris",4.10,19.00
"Andrew Bogut","Golden State Warriors",2014-01-28,2013,2747,1610612744,400489546,3,10,11,1,"Alley Oop Dunk Shot","2PT Field Goal",1.00,"Washington Wizards",-4,3,0,1.00,"Gortat, Marcin",2.00,13.80
"Nick Young","Los Angeles Lakers",2014-01-28,2013,3243,1610612747,400489547,3,3,21,1,"Alley Oop Dunk Shot","2PT Field Goal",1.20,"Indiana Pacers",15,33,0,0.10,"Hibbert, Roy",5.00,15.80
"Amir Johnson","Toronto Raptors",2014-01-29,2013,2769,1610612761,400489549,3,4,19,1,"Alley Oop Dunk Shot","2PT Field Goal",3.10,"Orlando Magic",6,9,0,0.80,"Davis, Glen",3.40,13.10
"Terrence Ross","Toronto Raptors",2014-01-29,2013,6619,1610612761,400489549,3,2,33,1,"Alley Oop Dunk Shot","2PT Field Goal",4.80,"Orlando Magic",28,11,1,0.80,"Nelson, Jameer",4.30,24.00
"Tim Duncan","San Antonio Spurs",2014-01-29,2013,215,1610612759,400489556,3,4,18,1,"Alley Oop Dunk Shot","2PT Field Goal",8.60,"Chicago Bulls",28,-5,3,5.50,"Noah, Joakim",0.80,6.30
"Thaddeus Young","Philadelphia 76ers",2014-01-31,2013,3244,1610612755,400489563,3,8,07,1,"Alley Oop Dunk Shot","2PT Field Goal",3.80,"Atlanta Hawks",0,-2,1,0.80,"Ayon, Gustavo",4.40,24.00
"Kevin Durant","Oklahoma City Thunder",2014-01-31,2013,3202,1610612760,400489565,3,7,41,1,"Alley Oop Dunk Shot","2PT Field Goal",3.00,"Brooklyn Nets",23,4,0,0.00,"Johnson, Joe",6.10,15.90
"Kevin Durant","Oklahoma City Thunder",2014-01-31,2013,3202,1610612760,400489565,3,4,10,1,"Alley Oop Dunk Shot","2PT Field Goal",3.30,"Brooklyn Nets",20,4,1,0.70,"Livingston, Shaun",7.30,24.00
"Blake Griffin","Los Angeles Clippers",2014-02-01,2013,3989,1610612746,400489581,3,3,00,1,"Alley Oop Dunk Shot","2PT Field Goal",3.50,"Utah Jazz",-10,9,0,0.00,"Gobert, Rudy",5.00,18.00
"Josh Smith","Detroit Pistons",2014-02-03,2013,2411,1610612765,400489586,3,2,20,1,"Alley Oop Dunk Shot","2PT Field Goal",3.40,"Miami Heat",0,7,0,1.00,"James, LeBron",6.00,20.50
"Tristan Thompson","Cleveland Cavaliers",2014-02-03,2013,6474,1610612739,400489590,3,11,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0.50,"Dallas Mavericks",10,-3,0,0.00,"Dalembert, Samuel",3.80,12.60
"JJ Hickson","Denver Nuggets",2014-02-03,2013,3437,1610612743,400489591,3,9,31,1,"Alley Oop Dunk Shot","2PT Field Goal",3.10,"Los Angeles Clippers",-13,6,0,0.20,"Jordan, DeAndre",2.70,24.00
